,lng,lat,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
22026,18.054891721599926,59.32995873683527,2020-11-20T13:24:15.000000Z,0.5434722900390625,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,straight-tangerine-mantaray,8c088661c273bff,838608.0,838825,12.0,0.0,596000,838837,112vWyFAY6PeEjkPPfAoSm8DKSzjitPz6fHg9qHCfajM29BG1uvk,Blekholmsgatan,Stockholms län,SE,Norrmalm,Blekholmsgatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/135.181.106.176/tcp/44160'],838694.0
22177,18.02706313298865,59.31811990928743,2020-11-16T10:22:45.000000Z,0.5434722900390625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,round-lavender-millipede,8c088661cda9bff,838723.0,838825,12.0,0.0,590976,838837,11x2SrLBRWhSo2aczif9VibRAp2cDEiPDCd7zGps5HpPcEpJ2a9,Slipgatan,Stockholms län,SE,Södermalm,Slipgatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/p2p/112R9S5BzBGTh6g7QJNX5YyZtuhHdHVY58gZJNz1z5WDshuBfWnZ/p2p-circuit/p2p/11x2SrLBRWhSo2aczif9VibRAp2cDEiPDCd7zGps5HpPcEpJ2a9'],838697.0
22216,13.015931065952799,55.59406135143987,2020-11-14T20:00:05.000000Z,0.8333282470703125,14DXurfTM8ZRek6msvJWNGzpzCV836cu31Xw67zf8QJG9UtfQLV,1,best-wintergreen-bee,8c1f05b84380dff,838799.0,838815,12.0,0.0,589007,838837,1123uHKwytR5n6gApXZKa5eZNP5yQ1ZZ5HnQeHw2fhuwZEd54dkC,Falsterbogatan,Skåne län,SE,Malmö,Falsterbogatan,Skåne län,Sweden,Malmö,bWFsbcO2c2vDpW5lIGzDpG5zd2VkZW4,online,['/ip4/85.224.96.17/tcp/56317'],838712.0
22463,13.091363153693035,55.664794931468656,2020-11-09T16:07:41.000000Z,1.0,13aQeF2Rrg7KaAcAeU9ukuQ8mioLbo2pRrpNsUB4sMPZf9v13Rc,2,ancient-mauve-narwhal,8c1f05b102287ff,838747.0,838797,10.0,5.0,581642,838837,112t6GJJs6Pk8UEXr77EZCo7w36yvURZmK3ocXv3KCJQB7u9DuD6,Lingongatan,Skåne län,SE,Lomma,Lingongatan,Skåne län,Sweden,Lomma,bG9tbWFza8OlbmUgbMOkbnN3ZWRlbg,online,['/ip4/31.208.27.27/tcp/44158'],838689.0
22537,17.95238394512157,59.24564078672352,2020-11-07T21:24:07.000000Z,1.0,14jKSEr49tLco8TLFDoe2mKWWPiiZUpTJP7c1sauA6EfSU11bXM,1,strong-chili-opossum,8c088678a76e5ff,838679.0,838729,12.0,0.0,578966,838837,116tq2o76udkh2hS5ywrpQBckAdgWGhEdRhikwXTXCARqu5wahg,Tjäderspelsvägen,Stockholms län,SE,Fullersta,Tjäderspelsvägen,Stockholms län,Sweden,Fullersta,ZnVsbGVyc3Rhc3RvY2tob2xtcyBsw6Ruc3dlZGVu,online,['/ip4/188.149.188.137/tcp/44158'],838735.0
22660,18.065099510301625,59.330627270341225,2020-11-05T15:07:10.000000Z,0.5434722900390625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,cool-lilac-corgi,8c088661d4a67ff,838762.0,838812,12.0,0.0,575553,838837,112kc96yvkrWjym6PpJJqzkansWUhhGmAoE3Pc66sUisDvVrwfiA,Drottninggatan,Stockholms län,SE,Norrmalm,Drottninggatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/80.216.13.252/tcp/15506'],838697.0
23587,20.301440653255145,63.81434706697964,2020-10-30T07:29:20.000000Z,0.5,132F1Ad16kiwoBQ77kw3yMCUdnyTBi3xxgEyC1nXxNsbpRxuZ1K,4,mysterious-iron-crab,8c08f62cec497ff,838605.0,838655,70.0,20.0,565975,838837,11B3w7ixQEEPdyhuJDLtceEXg4qUzcJCLv5PVzBSQJUkn3Y7hjH,Klintvägen,Västerbottens län,SE,Ålidhem,Klintvägen,Västerbottens län,Sweden,Ålidhem,w6VsaWRoZW12w6RzdGVyYm90dGVucyBsw6Ruc3dlZGVu,online,['/ip4/87.96.151.71/tcp/56801'],838770.0
23736,20.29318563492533,63.81382365638192,2020-10-29T17:21:22.000000Z,0.5,132rjofoPRZ86KxfvhasuDjNFcej7Lm1oGq8x4oRviJUCkwAuzA,2,wild-paisley-corgi,8c08f62ced6d7ff,838620.0,838698,12.0,0.0,565055,838837,11phhLEBkrehUWTzJ2F9SNVxTaGLvg9fpwKwAsSs6wBEhZrMjZb,Hoppets gränd,Västerbottens län,SE,Ålidhem,Hoppets gränd,Västerbottens län,Sweden,Ålidhem,w6VsaWRoZW12w6RzdGVyYm90dGVucyBsw6Ruc3dlZGVu,online,['/p2p/11gTLn4BHucTbJ8NvcdpmkeK9fQmpJiP7kDyCQExykqc3AhNfpL/p2p-circuit/p2p/11phhLEBkrehUWTzJ2F9SNVxTaGLvg9fpwKwAsSs6wBEhZrMjZb'],838692.0
24010,17.644522187303426,59.881914288406556,2020-10-24T09:52:53.000000Z,1.0,14SiXdBfQT15p43yGuHRFwg9ynP3Fx8ELErkbAUH9H326mGtrA4,1,kind-saffron-urchin,8c0880d8aa369ff,822143.0,832645,12.0,0.0,556668,838837,112HhcdQytMGmT1sXfBYiJkR5JJy9iPDhuCNcsdte8QK4owsbcDr,Dagermansgatan,Uppsala län,SE,Löten,Dagermansgatan,Uppsala län,Sweden,Löten,bMO2dGVudXBwc2FsYSBsw6Ruc3dlZGVu,offline,,822303.0
24042,18.035840599177686,59.333549076567465,2020-10-23T11:44:58.000000Z,0.5434722900390625,13v9kMn5p1a3Y5vqnPxzqfaiEhhrRBaMLYk7SmiN3pJEx1WmBpT,1,quaint-basil-horse,8c088661cb693ff,838639.0,838738,12.0,0.0,555213,838837,11NLdK4u57Yrn9u8JDC4kChrFieijFrbF9YEdazvsnNKsXPDrCc,Inedalsgatan,Stockholms län,SE,Kungsholmen,Inedalsgatan,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/78.82.218.246/tcp/44158'],838732.0
24105,18.06609436390147,59.317417544127856,2020-10-21T18:54:46.000000Z,0.2717437744140625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,merry-eggplant-worm,8c0886618db1bff,838573.0,838791,12.0,0.0,552607,838837,11G2s6iHa59Lfr1TSUdvR5ZDKyouWXn3FmWZAquAcPwmPQD33jy,Bellmansgatan,Stockholms län,SE,Södermalm,Bellmansgatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/145.14.104.83/tcp/44158'],838777.0
24107,18.11818514933216,59.31288418072408,2020-10-21T18:25:25.000000Z,0.3623199462890625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,3,blunt-grape-seagull,8c088661a2883ff,838702.0,838752,12.0,0.0,552582,838837,11EAZ1cCzcg2Re5NvitvXqh1Yt2SL7qBwYUQv4v4UEsdvDUZKEf,Kvarnholmsvägen,Stockholms län,SE,Nacka,Kvarnholmsvägen,Stockholms län,Sweden,Nacka,bmFja2FzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/46.59.98.99/tcp/44158'],838751.0
24119,18.119071256106007,59.342794576336296,2020-10-21T05:27:13.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,stale-chiffon-caribou,8c08866e69269ff,838807.0,838807,12.0,0.0,551778,838837,11u7CmhyEjGiPaEWwg6v7BFhkA2C5Q7EAcCaK2Qz4RBJdtxbEHi,Frihamnsgatan,Stockholms län,SE,Östermalm,Frihamnsgatan,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/85.229.16.192/tcp/44159'],838683.0
24158,12.97623138495831,55.61332223965413,2020-10-20T17:52:42.000000Z,1.0,14DXurfTM8ZRek6msvJWNGzpzCV836cu31Xw67zf8QJG9UtfQLV,1,docile-ash-monkey,8c1f05ba2c28bff,838751.0,838801,12.0,0.0,551007,838837,112UegUb83wGaT2mMyBDcSb1G2fzBfC8C4gHXee3jet9oj1iFrtX,Lilla Varvsgatan,Skåne län,SE,Hamnen,Lilla Varvsgatan,Skåne län,Sweden,Hamnen,aGFtbmVuc2vDpW5lIGzDpG5zd2VkZW4,online,['/ip4/78.70.177.207/tcp/14204'],838697.0
24245,18.106543634586124,59.34542047719206,2020-10-19T18:45:34.000000Z,0.5434722900390625,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,furry-malachite-bird,8c088661932ebff,838716.0,838788,12.0,0.0,549559,838837,112WRUNwH7TBQvxguSPPqX9Mb2vjgs6ejZqxkr6UmrRSjyVm3zRH,Kampementsgatan,Stockholms län,SE,Östermalm,Kampementsgatan,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/81.226.100.38/tcp/44158'],838773.0
24344,17.990301293685828,59.31502957451354,2020-10-18T10:29:22.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,soft-syrup-dinosaur,8c0886602cb69ff,838662.0,838712,12.0,0.0,547910,838837,11aJY8kLK4ndLVzFdifYUuE7m27MqYCv69Fp8G7DqjbX7WAbk8L,Ekensbergsvägen,Stockholms län,SE,Hägersten-Liljeholmen,Ekensbergsvägen,Stockholms län,Sweden,Hägersten-Liljeholmen,aMOkZ2Vyc3Rlbi1saWxqZWhvbG1lbnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/37.46.191.28/tcp/48248'],838775.0
24522,18.06722032957647,59.316149940950666,2020-10-15T17:04:41.000000Z,0.5434722900390625,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,able-slate-dragonfly,8c088661eacb3ff,838789.0,838791,12.0,0.0,544587,838837,11CG4rXtYzqmt69RNpkhRBWELKvgXQoHQ9aucwT6VqmJfEmiVLs,Maria Prästgårdsgata,Stockholms län,SE,Södermalm,Maria Prästgårdsgata,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/94.255.218.136/tcp/44158'],838706.0
24537,18.02836408892486,59.342113283011344,2020-10-15T05:56:57.000000Z,1.0,14inhtM57SDS6QL6KLPVQYYcUSZGD7xjB7hndQm6aq8Z67i5u3e,3,rough-taffy-mammoth,8c08866033133ff,838663.0,838713,58.0,0.0,544021,838837,112AHwrpjw7soyDBcEwN51kt7YZ9mNEPgoCAHrFFK6jYDoAYtgMF,Tomtebogatan,Stockholms län,SE,Norrmalm,Tomtebogatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/83.209.200.206/tcp/44159'],838770.0
24562,17.659814498199864,59.87855348744567,2020-10-14T21:07:21.000000Z,1.0,14KbLYpzdnEtzJPGLZLdJVKJcYUts2nJ8VEE85F4jXhUj6Gx9dG,1,sour-orange-anteater,8c0880d8a39c1ff,838669.0,838719,12.0,0.0,543585,838837,1124BZtA4YPR6WQPszmxVTaaJE8mGZv9QXA1JZfQkJMEsbeX3pMv,Albert Engströmsgatan,Uppsala län,SE,Gränby,Albert Engströmsgatan,Uppsala län,Sweden,Gränby,Z3LDpG5ieXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/ip4/81.232.53.78/tcp/52091'],838779.0
24566,18.088957033281893,59.313324619979,2020-10-14T20:45:11.000000Z,0.5434722900390625,14n2xVYjsQTLY6N5ANnzLPoALm7H49myx1Vhz2DohivT64Nz7qd,1,scruffy-seafoam-worm,8c088661a871dff,838685.0,838835,12.0,0.0,543566,838837,11ba9oogMkHXGecmDSwHDSCodBFuXHwAVLq5GN9WrbPGZfx8Zoh,Folkungagatan,Stockholms län,SE,Södermalm,Folkungagatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/213.163.139.179/tcp/14583'],838730.0
24607,18.037055481807332,59.34185971829669,2020-10-14T10:58:36.000000Z,0.5,14inhtM57SDS6QL6KLPVQYYcUSZGD7xjB7hndQm6aq8Z67i5u3e,3,odd-teal-parrot,8c088660328d7ff,838817.0,838825,58.0,13.0,543065,838837,112ZKkBJbQGj3jzbuvmypiVzngcmZWCaQbnXWytFnYV6CG3UNLZa,Torsgatan,Stockholms län,SE,Norrmalm,Torsgatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/89.253.75.185/tcp/44159'],838697.0
24728,13.005739995836036,55.59255579074227,2020-10-12T14:45:09.000000Z,0.8333282470703125,132Cxq3DeiaG7L9HpFqw3rmAg57V282qsibidHpHzyCyJX7w2d9,2,skinny-strawberry-weasel,8c1f05b8409c7ff,838620.0,838670,12.0,0.0,540830,838837,11295SzApYcM5XbKw4ZDyHG2FK7jEPFvZnqotn2rXqX8AwZ9Vcju,Södra Förstadsgatan,Skåne län,SE,Rådmansvången,Södra Förstadsgatan,Skåne län,Sweden,Rådmansvången,csOlZG1hbnN2w6VuZ2Vuc2vDpW5lIGzDpG5zd2VkZW4,online,['/p2p/118WEYj6PcaEm2hx86BNgFRPKMm7TxLAnBaFWRqZPdL7Fwq1Qfv/p2p-circuit/p2p/11295SzApYcM5XbKw4ZDyHG2FK7jEPFvZnqotn2rXqX8AwZ9Vcju'],838764.0
24845,13.00976841795395,55.60685498508919,2020-10-10T11:50:56.000000Z,1.0,132xFucrG2mjiJAwYmvgoXRh4nMGt8oYh2X8sYLcUPfsCniBHs2,1,energetic-peach-mandrill,8c1f05ba359c7ff,838598.0,838648,12.0,0.0,538232,838837,11hfH5AQCf35eRb8xjhz3AiLM6WcYtHq92hD32gQNztsa927Bj9,Norregatan,Skåne län,SE,Malmö,Norregatan,Skåne län,Sweden,Malmö,bWFsbcO2c2vDpW5lIGzDpG5zd2VkZW4,online,['/ip4/84.217.33.59/tcp/3966'],838783.0
24851,18.127138192560416,59.31632843126583,2020-10-10T09:57:29.000000Z,0.3205108642578125,14YXyXiPFCgfbv3eRAoD4rowuNzJsFUp49JiEutR3e32kVDDW9D,1,curved-coffee-aardvark,8c088661b486dff,819310.0,821232,12.0,0.0,538136,838837,11DGj3JFW7xiB8skRSfqESibFtGAgd2hRYj5nAPMaGVW5spPHT2,Finnboda Kajväg,Stockholms län,SE,Nacka,Finnboda Kajväg,Stockholms län,Sweden,Nacka,bmFja2FzdG9ja2hvbG1zIGzDpG5zd2VkZW4,offline,,819429.0
24886,17.679264207483996,59.87824297076036,2020-10-09T15:49:02.000000Z,1.0,14SiXdBfQT15p43yGuHRFwg9ynP3Fx8ELErkbAUH9H326mGtrA4,2,loud-blood-parakeet,8c0880ca48abbff,838818.0,838818,12.0,0.0,537189,838837,11CUkSgm1PK7bEYNQt9F4N9eo16b3jkSPWhAf1eeAvAU66X1utn,Storkällsvägen,Uppsala län,SE,Uppsala,Storkällsvägen,Uppsala län,Sweden,Uppsala,dXBwc2FsYXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/ip4/81.227.63.207/tcp/10202'],838759.0
24899,18.00712775698545,59.32244479820836,2020-10-09T12:49:12.000000Z,0.5,13SaBus2Z8sHqrG3SVzneKbXRrqB47KGjHi7zchdXyFLZEdU3gD,3,odd-cider-seal,8c08866020c2dff,838804.0,838804,40.0,9.0,537008,838837,11bfeQ2mhNuosidBCDL2vCDKEuYhxbX3ncqx7M25vJrSx7spC3N,Primusgatan,Stockholms län,SE,Kungsholmen,Primusgatan,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/85.230.76.217/tcp/29449'],838740.0
24947,18.081052842410944,59.2971534026598,2020-10-08T15:04:59.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,sharp-leather-llama,8c08866ad149bff,838693.0,838743,12.0,0.0,535683,838837,115c6oTaMyDbMf5dQS2odSgJUHVe2EUZpfs4wAyurM1rpJWFnZM,Arenavägen,Stockholms län,SE,Enskede-Årsta-Vantör,Arenavägen,Stockholms län,Sweden,Enskede-Årsta-Vantör,ZW5za2VkZS3DpXJzdGEtdmFudMO2cnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/2.67.187.152/tcp/44158'],838792.0
24949,18.05850595798466,59.31279597047135,2020-10-08T14:57:30.000000Z,0.5434722900390625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,hot-sky-gorilla,8c088661eb9b9ff,838744.0,838802,12.0,0.0,535676,838837,11mYfNFd8qaSqHWsjhPpJmXpDH597eBWZ9YF2FTAuidYenTFpB2,Fatburs Kvarngata,Stockholms län,SE,Södermalm,Fatburs Kvarngata,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/84.217.87.87/tcp/54446'],838775.0
24959,18.06981241377229,59.33549597435178,2020-10-08T13:05:15.000000Z,0.65789794921875,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,2,happy-bubblegum-meerkat,8c088661d7a49ff,829281.0,838336,12.0,0.0,535560,838837,11K9AwLkj4BPRFNvvPUThVSbG7eUoBmdnddNY6H9uDaeZSAGLfj,Lästmakargatan,Stockholms län,SE,Norrmalm,Lästmakargatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,offline,,829402.0
24962,17.64052544821732,59.886832256932784,2020-10-08T12:34:44.000000Z,0.5,14SiXdBfQT15p43yGuHRFwg9ynP3Fx8ELErkbAUH9H326mGtrA4,2,attractive-plum-turkey,8c0880d88786bff,838754.0,838804,12.0,0.0,535528,838837,112AKGW4qMeVcwBk2KpXCYo4StPPa7o6gp5iPN6Pu4Nv5HwKAxxh,Orvars väg,Uppsala län,SE,Gamla Uppsala,Orvars väg,Uppsala län,Sweden,Gamla Uppsala,Z2FtbGEgdXBwc2FsYXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/p2p/11KKXuRd9zhJqCjGPv24c5p1gQj5tyXgbtr7dCNFjMfqAiBCG2n/p2p-circuit/p2p/112AKGW4qMeVcwBk2KpXCYo4StPPa7o6gp5iPN6Pu4Nv5HwKAxxh'],838613.0
24964,17.650839575964675,59.890478563854224,2020-10-08T11:50:59.000000Z,0.5,14SiXdBfQT15p43yGuHRFwg9ynP3Fx8ELErkbAUH9H326mGtrA4,3,orbiting-tin-worm,8c0880d886cdbff,838637.0,838696,12.0,0.0,535482,838837,11jFb17vD4uTtnufdirPgrDrTj12AqhxpafTNekFoVt5SnSD3pE,Leopoldsgatan,Uppsala län,SE,Nyby,Leopoldsgatan,Uppsala län,Sweden,Nyby,bnlieXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/p2p/112XwqqwC29E29HVjt7NmzCW9xvK5BvnnstXVEpZ6sLYAtDEyHAC/p2p-circuit/p2p/11jFb17vD4uTtnufdirPgrDrTj12AqhxpafTNekFoVt5SnSD3pE'],838691.0
24971,12.994014372687062,55.61149156004324,2020-10-08T10:21:02.000000Z,1.0,14XDDqmtD8RCMEL4oxfrrfrg6qbno6TB9CMf5uHAuNtFZRy6H8i,1,suave-raisin-snake,8c1f05ba20419ff,,837227,12.0,0.0,535394,838837,11xPjD5mMokZvd5vspzv2un32wYURmALRz3zmUWL71S3y6ATCYN,Beijerskajen,Skåne län,SE,Hamnen,Beijerskajen,Skåne län,Sweden,Hamnen,aGFtbmVuc2vDpW5lIGzDpG5zd2VkZW4,offline,,
24972,18.000619214905267,59.333747910703494,2020-10-08T10:18:11.000000Z,0.5,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,silly-denim-barbel,8c0886600699bff,838621.0,838793,12.0,0.0,535391,838837,115yY9ZfYrR2Rk8eH4P94xnFYgJxyma8wM47MpmqhBLdXXPeUCY,Ola Hanssonsgatan,Stockholms län,SE,Kungsholmen,Ola Hanssonsgatan,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/2.68.94.233/tcp/44158'],838704.0
24974,17.99812966676574,59.33618652001511,2020-10-08T10:14:23.000000Z,0.5,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,proud-chrome-albatross,8c08866006e4bff,838817.0,838817,12.0,0.0,535387,838837,11p2tMUW6k5j4ZS1N7JDe27WYV7tcKieuyxiBLC3gVyugij7DFg,Lidnersplan,Stockholms län,SE,Kungsholmen,Lidnersplan,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/80.217.152.114/tcp/31068'],838712.0
24977,18.010145772938397,59.3621455707568,2020-10-08T10:01:03.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,faint-sapphire-buffalo,8c088660cca67ff,838756.0,838806,12.0,0.0,535373,838837,112jvCzQSsVAUs3BFsRsqbZMYu7oQ1xPW4e7NRyJCLRYx7JXhWY,Hagalundsgatan,Stockholms län,SE,Hagalund,Hagalundsgatan,Stockholms län,Sweden,Hagalund,aGFnYWx1bmRzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/31.211.221.57/tcp/24028'],838774.0
24979,18.040827440229506,59.32742277039679,2020-10-08T09:56:17.000000Z,0.5434722900390625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,curly-taupe-okapi,8c088661cab33ff,838585.0,838738,12.0,0.0,535368,838837,11ZUEbuTNj8xhGvus3TFpAHQywvJGqBfNjj93P2R34RsN1NBZJh,Kungsholmstorg,Stockholms län,SE,Kungsholmen,Kungsholmstorg,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/82.183.24.104/tcp/47604'],838771.0
25034,18.07019089064877,59.3187543848989,2020-10-07T13:32:51.000000Z,0.5434722900390625,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,2,handsome-blonde-guppy,8c0886618c16bff,838609.0,838738,12.0,0.0,534105,838837,11eht5bz29Aq3Pnn6ED2EQSRRGfCwpQyoAmKsgGWySG5ueJ9QMg,S:t Paulsgatan,Stockholms län,SE,Södermalm,Sankt Paulsgatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/192.176.228.116/tcp/34635'],838679.0
25144,11.947086375016482,57.695675370249575,2020-10-06T03:59:31.000000Z,0.75,13hZcW2J69JUK6vodvzR7PhA5BKNAgEUsi466WBbTw2EhAqVxej,2,best-violet-camel,8c1f2506ca8e9ff,838792.0,838830,12.0,0.0,531997,838837,11sMvHKA1vfpC2knWqP126SkTJ3afLrJc2hq5ucZYkfA21ReuQt,Nordostpassagen,Västra Götalands län,SE,Göteborg,Nordostpassagen,Västra Götalands län,Sweden,Göteborg,Z8O2dGVib3JndsOkc3RyYSBnw7Z0YWxhbmRzIGzDpG5zd2VkZW4,online,['/ip4/213.102.86.98/tcp/4990'],838778.0
25243,17.998915520032273,59.31615787277838,2020-10-04T20:15:06.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,flat-shadow-terrier,8c08866025039ff,838724.0,838778,12.0,0.0,530014,838837,112BY42Xy78mG2yX2uSLTM3RKVtGF3w7Lz7J272AKctkSqLaKuT3,Bryggvägen,Stockholms län,SE,Hägersten-Liljeholmen,Bryggvägen,Stockholms län,Sweden,Hägersten-Liljeholmen,aMOkZ2Vyc3Rlbi1saWxqZWhvbG1lbnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/83.250.101.239/tcp/56120'],838676.0
25245,18.093647173601077,59.34273788095709,2020-10-04T20:09:26.000000Z,0.18115234375,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,gorgeous-neon-cat,8c08866198ccdff,838663.0,838738,12.0,0.0,530008,838837,117dAW6r1qUScJomGgg8RYzRoH1vcR66Py5qvNDBkC3ouSJT6G6,Hedinsgatan,Stockholms län,SE,Östermalm,Hedinsgatan,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/84.216.143.103/tcp/44158'],838738.0
25259,18.08548171307734,59.31489810659451,2020-10-04T14:19:42.000000Z,0.5434722900390625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,zesty-steel-beaver,8c08866184b61ff,838827.0,838827,12.0,0.0,529640,838837,112pHdduqUEgYyJcYC5Eo4p3hWHKWFKwNkpA5A1SsATo41Gd56eY,Borgmästargatan,Stockholms län,SE,Södermalm,Borgmästargatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/77.53.218.55/tcp/44158'],838786.0
25302,18.03984895933156,59.33813576938409,2020-10-03T13:25:06.000000Z,1.0,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,2,ancient-carob-kookaburra,8c088660365edff,838719.0,838769,12.0,0.0,528091,838837,112YSkmWMk42TYnwGqpRudJNj6w8tbZdfgjchgAgjGz9nrZGVhCE,Atlasgatan,Stockholms län,SE,Norrmalm,Atlasgatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/94.137.102.79/tcp/27610'],838795.0
25303,18.07484872052301,59.32313284939263,2020-10-03T13:20:26.000000Z,0.6097564697265625,14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,1,exotic-lime-gibbon,8c0886618c499ff,781696.0,825853,12.0,0.0,528086,838837,112K11ZDgWnareSDKUxFCA69cfyYvXqSMjnuqdSvdfZu889D52Te,Skeppsbron,Stockholms län,SE,Södermalm,Skeppsbron,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,offline,[],782001.0
