,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,lng,lat,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
4244,2021-03-31T11:54:09.000000Z,1.0,14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,1,rural-midnight-panda,8c0880d8a463dff,819633.0,819633,12.0,0.0,783117,819636,112W4NdLEuSJaaffwJ9iH4rJY27ntacJUC46kMNTY9CHuyCg5n1e,17.65428500877791,59.87247265928188,Bruno Liljeforsgatan,Uppsala län,SE,Gränby,Bruno Liljeforsgatan,Uppsala län,Sweden,Gränby,Z3LDpG5ieXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/ip4/81.225.3.13/tcp/44158'],819618.0
4460,2021-03-27T18:14:17.000000Z,1.0,13v9kMn5p1a3Y5vqnPxzqfaiEhhrRBaMLYk7SmiN3pJEx1WmBpT,1,oblong-linen-haddock,8c0886601d739ff,819415.0,819465,12.0,0.0,777813,819636,112thS39QVydRe2UgKurUuJvZkhcmyWjjxJKmvL3eMMF885Fowu2,17.985425687275935,59.3501521691987,Storgatan,Stockholms län,SE,Huvudsta,Storgatan,Stockholms län,Sweden,Huvudsta,aHV2dWRzdGFzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/81.235.177.2/tcp/3344'],819618.0
4858,2021-03-24T15:01:17.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,tame-cream-dove,8c08869932589ff,796376.0,817682,12.0,0.0,773665,819636,11qgJik1Bpkrw1SoEvbToyURUYKXmyUnBkScQaaj1UzSFQSonVv,16.507907843991003,59.36345364921285,Tegelbruksgatan,Södermanlands län,SE,Västermalm-Nyfors,Tegelbruksgatan,Södermanlands län,Sweden,Västermalm-Nyfors,dsOkc3Rlcm1hbG0tbnlmb3Jzc8O2ZGVybWFubGFuZHMgbMOkbnN3ZWRlbg,offline,,796379.0
5109,2021-03-22T09:43:12.000000Z,1.0,14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,1,polite-cornflower-starling,8c0880d8a1563ff,819435.0,819593,12.0,0.0,770681,819636,112JfepGrQgravVHMnZUvUHzhyHBEYkbGMxiY3kV7vc8K1YZNAsR,17.647207156259306,59.87740317483029,Heidenstamsgatan,Uppsala län,SE,Löten,Heidenstamsgatan,Uppsala län,Sweden,Löten,bMO2dGVudXBwc2FsYSBsw6Ruc3dlZGVu,online,"['/ip4/84.216.127.159/tcp/44158', '/p2p/11QMWuwi9uBqHA635NSmsgZFwZ9cMNkhwrAbu1jYSMXwkkAtirB/p2p-circuit/p2p/112JfepGrQgravVHMnZUvUHzhyHBEYkbGMxiY3kV7vc8K1YZNAsR']",819600.0
5394,2021-03-19T15:05:25.000000Z,1.0,14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,1,narrow-arctic-cow,8c0880ca6da3bff,819577.0,819627,12.0,0.0,766642,819636,112m36Zf48EjMbNWxygRPkKxrvCE5QNZpX3JfhP9vXwytkFWnSj4,17.695382718993866,59.85644769033504,Lefflersgatan,Uppsala län,SE,Fyrislund,Lefflersgatan,Uppsala län,Sweden,Fyrislund,ZnlyaXNsdW5kdXBwc2FsYSBsw6Ruc3dlZGVu,online,['/p2p/11y592TQyELn6xx7xBXvMzMuqnCpA198ifQtWYTdirwUrMc2eYu/p2p-circuit/p2p/112m36Zf48EjMbNWxygRPkKxrvCE5QNZpX3JfhP9vXwytkFWnSj4'],819603.0
5397,2021-03-19T13:06:02.000000Z,1.0,14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,1,fierce-seaweed-hamster,8c0880d993435ff,819376.0,819476,12.0,0.0,766504,819636,111MAuknnzvsZPH9wrhnC28e4MxZrLXNLYNiYzB6XKFwRx5Rgj,17.679957653735404,59.8684421019482,Johannesbäcksgatan,Uppsala län,SE,Sala backe,Johannesbäcksgatan,Uppsala län,Sweden,Sala backe,c2FsYSBiYWNrZXVwcHNhbGEgbMOkbnN3ZWRlbg,online,['/ip4/90.229.245.155/tcp/44158'],819602.0
5407,2021-03-19T10:01:01.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,innocent-clear-hyena,8c0882b348c67ff,819489.0,819539,12.0,0.0,766304,819636,11v431dWyMAQ8uVZ1tdfiMvvScwVkJfA5FnYMtrYyiaRZxyzp5d,18.698749657980382,59.74899592271596,Drottning Kristinas väg,Stockholms län,SE,Grossgärdet,Drottning Kristinas väg,Stockholms län,Sweden,Grossgärdet,Z3Jvc3Nnw6RyZGV0c3RvY2tob2xtcyBsw6Ruc3dlZGVu,online,['/p2p/11aSbSVKhbnqmq7TZAULBQ4tWWaRk67P1NTG8etd8f9WgCW7qqG/p2p-circuit/p2p/11v431dWyMAQ8uVZ1tdfiMvvScwVkJfA5FnYMtrYyiaRZxyzp5d'],819593.0
5408,2021-03-19T09:21:44.000000Z,1.0,14d7XEZJTsFRytmSuj2Ldtx8WpNnNPwawdEv6yV7C4dLwuV6FYm,1,large-stone-shetland,8c0895b841151ff,,766277,,,766258,819636,11nvhTHDq7QnFBa8JJdTy3joTayGP2Jit8R9Jhg61e2jNLZ9heW,17.939642013038362,58.90632390061673,Heimdalsvägen,Stockholms län,SE,Norra Nynäshamn,Heimdalsvägen,Stockholms län,Sweden,Norra Nynäshamn,bm9ycmEgbnluw6RzaGFtbnN0b2NraG9sbXMgbMOkbnN3ZWRlbg,offline,,
5411,2021-03-19T07:58:02.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,scrawny-shadow-leopard,8c08866f02a29ff,819632.0,819633,12.0,0.0,766162,819636,11t7C2cA3akaD4GMx2gnFvcZGoXFqczf8JJ38StUpH6kyYns6r9,18.194885013295664,59.3138352158076,Edinsvägen,Stockholms län,SE,Nacka Östra,Edinsvägen,Stockholms län,Sweden,Nacka Östra,bmFja2Egw7ZzdHJhc3RvY2tob2xtcyBsw6Ruc3dlZGVu,online,['/ip4/44.140.47.157/tcp/44158'],819561.0
5513,2021-03-18T12:13:00.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,energetic-obsidian-ladybug,8c088662d3ad9ff,819517.0,819633,12.0,0.0,764911,819636,112dfVHeKSRAjwbiPmL7e4rGzD2SWNPptfvDuvPMpEPDbKE7RMp,17.947467133390184,59.401316080135175,Hanstavägen,Stockholms län,SE,Kista,Hanstavägen,Stockholms län,Sweden,Kista,a2lzdGFzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/p2p/112W2cDHgNsSPpRd42teoCwZAZMsGFifodvBpQgeUDRcc8E2koPn/p2p-circuit/p2p/112dfVHeKSRAjwbiPmL7e4rGzD2SWNPptfvDuvPMpEPDbKE7RMp'],819615.0
